date,time,open,high,low,close,tickVolume
2014.03.27,06:00,1.46766,1.46773,1.4664,1.4666,1210
2014.03.27,07:00,1.46662,1.46733,1.46651,1.46668,1746
2014.03.27,08:00,1.46668,1.46938,1.46612,1.46878,3225
2014.03.27,09:00,1.46878,1.46939,1.46743,1.46754,5255
2014.03.27,10:00,1.46756,1.47388,1.46648,1.47369,7423
2014.03.27,11:00,1.47368,1.47422,1.47284,1.47323,5583
2014.03.27,12:00,1.47322,1.47414,1.4722,1.47372,4467
2014.03.27,13:00,1.47372,1.47487,1.47242,1.47257,5445
2014.03.27,14:00,1.47257,1.47308,1.47008,1.47126,7369
2014.03.27,15:00,1.47126,1.47291,1.47092,1.4728,7480
2014.03.27,16:00,1.47279,1.4733,1.47108,1.47263,5719
2014.03.27,17:00,1.47253,1.47403,1.47189,1.47262,5537
2014.03.27,18:00,1.47263,1.47328,1.47171,1.47321,3021
2014.03.27,19:00,1.47318,1.47324,1.47214,1.47241,1927
2014.03.27,20:00,1.47243,1.47283,1.47189,1.47252,1618
2014.03.27,21:00,1.47252,1.47303,1.47191,1.47263,1054
2014.03.27,22:00,1.47263,1.47303,1.47144,1.47204,1350
2014.03.27,23:00,1.47208,1.47263,1.47198,1.47227,760
2014.03.28,00:00,1.47226,1.47249,1.47167,1.47219,795
2014.03.28,01:00,1.47223,1.47345,1.47209,1.4731,1710
2014.03.28,02:00,1.4731,1.47355,1.47303,1.47345,925
2014.03.28,03:00,1.47346,1.47394,1.47328,1.47378,863
2014.03.28,04:00,1.47378,1.47413,1.47327,1.47384,1098
2014.03.28,05:00,1.47384,1.47401,1.47332,1.47366,962
2014.03.28,06:00,1.47367,1.47439,1.47365,1.47434,1105
2014.03.28,07:00,1.47433,1.47488,1.47364,1.4744,1737
2014.03.28,08:00,1.4744,1.47514,1.47413,1.47488,2164
2014.03.28,09:00,1.47489,1.47899,1.47489,1.47757,5956
2014.03.28,10:00,1.47759,1.47829,1.47458,1.47578,6754
2014.03.28,11:00,1.47578,1.47708,1.47428,1.47471,4153
2014.03.28,12:00,1.47468,1.47539,1.47341,1.47521,5029
2014.03.28,13:00,1.47519,1.47559,1.47338,1.4738,4345
2014.03.28,14:00,1.4738,1.47437,1.47243,1.47276,7272
2014.03.28,15:00,1.47276,1.4756,1.47142,1.47552,5837
2014.03.28,16:00,1.47555,1.47628,1.47385,1.47543,5497
2014.03.28,17:00,1.47542,1.47613,1.47489,1.47575,2883
2014.03.28,18:00,1.47575,1.47605,1.47469,1.47582,2188
2014.03.28,19:00,1.47583,1.47605,1.47548,1.47605,1566
2014.03.28,20:00,1.47605,1.47628,1.47515,1.47538,1453
2014.03.28,21:00,1.47537,1.47576,1.47492,1.47525,1601
2014.03.31,00:00,1.4758,1.47663,1.4757,1.47644,1270
2014.03.31,01:00,1.47647,1.47665,1.47575,1.47634,1316
2014.03.31,02:00,1.47623,1.47643,1.47469,1.47501,1919
2014.03.31,03:00,1.475,1.47549,1.47471,1.47491,1237
2014.03.31,04:00,1.47491,1.47537,1.47444,1.47507,1268
2014.03.31,05:00,1.47507,1.47586,1.47477,1.47566,1286
2014.03.31,06:00,1.47568,1.476,1.47548,1.47551,1227
2014.03.31,07:00,1.47553,1.4757,1.47498,1.47506,1866
2014.03.31,08:00,1.47509,1.47613,1.47487,1.47578,3298
2014.03.31,09:00,1.47578,1.47678,1.47403,1.47406,4078
2014.03.31,10:00,1.47406,1.47632,1.47287,1.47623,5682
2014.03.31,11:00,1.47631,1.47825,1.47046,1.47163,8379
2014.03.31,12:00,1.47163,1.47298,1.47029,1.47039,5202
